TIMEID	TIME_KEY
2452275	01012011
2452275	02012011
2452275	03012011
2452275	04012011
2452275	05012011
2452275	06012011
2452275	07012011
2452275	08012011
2452275	09012011
2452275	10012011
2452275	11012011
2452275	12012011
2452275	13012011
2452275	14012011
2452275	15012011
2452275	16012011
2452275	17012011
2452275	18012011
2452275	19012011
2452275	20012011
2452275	21012011
2452275	22012011
2452275	23012011
2452275	24012011
2452275	25012011
2452275	26012011
2452275	27012011
2452275	28012011
2452275	29012011
2452275	30012011
2452275	31012011
2452275	01022011
2452275	02022011
2452275	03022011
2452275	04022011
2452275	05022011
2452275	06022011
2452275	07022011
2452275	08022011
2452275	09022011
2452275	10022011
2452275	11022011
2452275	12022011
2452275	13022011
2452275	14022011
2452275	15022011
2452275	16022011
2452275	17022011
2452275	18022011
2452275	19022011
2452275	20022011
2452275	21022011
2452275	22022011
2452275	23022011
2452275	24022011
2452275	25022011
2452275	26022011
2452275	27022011
2452275	28022011
2452275	01032011
2452275	02032011
2452275	03032011
2452275	04032011
2452275	05032011
2452275	06032011
2452275	07032011
2452275	08032011
2452275	09032011
2452275	10032011
2452275	11032011
2452275	12032011
2452275	13032011
2452275	14032011
2452275	15032011
2452275	16032011
2452275	17032011
2452275	18032011
2452275	19032011
2452275	20032011
2452275	21032011
2452275	22032011
2452275	23032011
2452275	24032011
2452275	25032011
2452275	26032011
2452275	27032011
2452275	28032011
2452275	29032011
2452275	30032011
2452275	31032011
2452275	01042011
2452275	02042011
2452275	03042011
2452275	04042011
2452275	05042011
2452275	06042011
2452275	07042011
2452275	08042011
2452275	09042011
2452275	10042011
2452275	11042011
2452275	12042011
2452275	13042011
2452275	14042011
2452275	15042011
2452275	16042011
2452275	17042011
2452275	18042011
2452275	19042011
2452275	20042011
2452275	21042011
2452275	22042011
2452275	23042011
2452275	24042011
2452275	25042011
2452275	26042011
2452275	27042011
2452275	28042011
2452275	29042011
2452275	30042011
2452275	01052011
2452275	02052011
2452275	03052011
2452275	04052011
2452275	05052011
2452275	06052011
2452275	07052011
2452275	08052011
2452275	09052011
2452275	10052011
2452275	11052011
2452275	12052011
2452275	13052011
2452275	14052011
2452275	15052011
2452275	16052011
2452275	17052011
2452275	18052011
2452275	19052011
2452275	20052011
2452275	21052011
2452275	22052011
2452275	23052011
2452275	24052011
2452275	25052011
2452275	26052011
2452275	27052011
2452275	28052011
2452275	29052011
2452275	30052011
2452275	31052011
2452275	01062011
2452275	02062011
2452275	03062011
2452275	04062011
2452275	05062011
2452275	06062011
2452275	07062011
2452275	08062011
2452275	09062011
2452275	10062011
2452275	11062011
2452275	12062011
2452275	13062011
2452275	14062011
2452275	15062011
2452275	16062011
2452275	17062011
2452275	18062011
2452275	19062011
2452275	20062011
2452275	21062011
2452275	22062011
2452275	23062011
2452275	24062011
2452275	25062011
2452275	26062011
2452275	27062011
2452275	28062011
2452275	29062011
2452275	30062011
2452275	01072011
2452275	02072011
2452275	03072011
2452275	04072011
2452275	05072011
2452275	06072011
2452275	07072011
2452275	08072011
2452275	09072011
2452275	10072011
2452275	11072011
2452275	12072011
2452275	13072011
2452275	14072011
2452275	15072011
2452275	16072011
2452275	17072011
2452275	18072011
2452275	19072011
2452275	20072011
2452275	21072011
2452275	22072011
2452275	23072011
2452275	24072011
2452275	25072011
2452275	26072011
2452275	27072011
2452275	28072011
2452275	29072011
2452275	30072011
2452275	31072011
2452275	01082011
2452275	02082011
2452275	03082011
2452275	04082011
2452275	05082011
2452275	06082011
2452275	07082011
2452275	08082011
2452275	09082011
2452275	10082011
2452275	11082011
2452275	12082011
2452275	13082011
2452275	14082011
2452275	15082011
2452275	16082011
2452275	17082011
2452275	18082011
2452275	19082011
2452275	20082011
2452275	21082011
2452275	22082011
2452275	23082011
2452275	24082011
2452275	25082011
2452275	26082011
2452275	27082011
2452275	28082011
2452275	29082011
2452275	30082011
2452275	31082011
2452275	01092011
2452275	02092011
2452275	03092011
2452275	04092011
2452275	05092011
2452275	06092011
2452275	07092011
2452275	08092011
2452275	09092011
2452275	10092011
2452275	11092011
2452275	12092011
2452275	13092011
2452275	14092011
2452275	15092011
2452275	16092011
2452275	17092011
2452275	18092011
2452275	19092011
2452275	20092011
2452275	21092011
2452275	22092011
2452275	23092011
2452275	24092011
2452275	25092011
2452275	26092011
2452275	27092011
2452275	28092011
2452275	29092011
2452275	30092011
2452275	01102011
2452275	02102011
2452275	03102011
2452275	04102011
2452275	05102011
2452275	06102011
2452275	07102011
2452275	08102011
2452275	09102011
2452275	10102011
2452275	11102011
2452275	12102011
2452275	13102011
2452275	14102011
2452275	15102011
2452275	16102011
2452275	17102011
2452275	18102011
2452275	19102011
2452275	20102011
2452275	21102011
2452275	22102011
2452275	23102011
2452275	24102011
2452275	25102011
2452275	26102011
2452275	27102011
2452275	28102011
2452275	29102011
2452275	30102011
2452275	31102011
2452275	01112011
2452275	02112011
2452275	03112011
2452275	04112011
2452275	05112011
2452275	06112011
2452275	07112011
2452275	08112011
2452275	09112011
2452275	10112011
2452275	11112011
2452275	12112011
2452275	13112011
2452275	14112011
2452275	15112011
2452275	16112011
2452275	17112011
2452275	18112011
2452275	19112011
2452275	20112011
2452275	21112011
2452275	22112011
2452275	23112011
2452275	24112011
2452275	25112011
2452275	26112011
2452275	27112011
2452275	28112011
2452275	29112011
2452275	30112011
2452275	01122011
2452275	02122011
2452275	03122011
2452275	04122011
2452275	05122011
2452275	06122011
2452275	07122011
2452275	08122011
2452275	09122011
2452275	10122011
2452275	11122011
2452275	12122011
2452275	13122011
2452275	14122011
2452275	15122011
2452275	16122011
2452275	17122011
2452275	18122011
2452275	19122011
2452275	20122011
2452275	21122011
2452275	22122011
2452275	23122011
2452275	24122011
2452275	25122011
2452275	26122011
2452275	27122011
2452275	28122011
2452275	29122011
2452275	30122011
2452275	31122011
2452275	01012012
2452275	02012012
2452275	03012012
2452275	04012012
2452275	05012012
2452275	06012012
2452275	07012012
2452275	08012012
2452275	09012012
2452275	10012012
2452275	11012012
2452275	12012012
2452275	13012012
2452275	14012012
2452275	15012012
2452275	16012012
2452275	17012012
2452275	18012012
2452275	19012012
2452275	20012012
2452275	21012012
2452275	22012012
2452275	23012012
2452275	24012012
2452275	25012012
2452275	26012012
2452275	27012012
2452275	28012012
2452275	29012012
2452275	30012012
2452275	31012012
2452275	01022012
2452275	02022012
2452275	03022012
2452275	04022012
2452275	05022012
2452275	06022012
2452275	07022012
2452275	08022012
2452275	09022012
2452275	10022012
2452275	11022012
2452275	12022012
2452275	13022012
2452275	14022012
2452275	15022012
2452275	16022012
2452275	17022012
2452275	18022012
2452275	19022012
2452275	20022012
2452275	21022012
2452275	22022012
2452275	23022012
2452275	24022012
2452275	25022012
2452275	26022012
2452275	27022012
2452275	28022012
2452275	29022012
2452275	01032012
2452275	02032012
2452275	03032012
2452275	04032012
2452275	05032012
2452275	06032012
2452275	07032012
2452275	08032012
2452275	09032012
2452275	10032012
2452275	11032012
2452275	12032012
2452275	13032012
2452275	14032012
2452275	15032012
2452275	16032012
2452275	17032012
2452275	18032012
2452275	19032012
2452275	20032012
2452275	21032012
2452275	22032012
2452275	23032012
2452275	24032012
2452275	25032012
2452275	26032012
2452275	27032012
2452275	28032012
2452275	29032012
2452275	30032012
2452275	31032012
2452275	01042012
2452275	02042012
2452275	03042012
2452275	04042012
2452275	05042012
2452275	06042012
2452275	07042012
2452275	08042012
2452275	09042012
2452275	10042012
2452275	11042012
2452275	12042012
2452275	13042012
2452275	14042012
2452275	15042012
2452275	16042012
2452275	17042012
2452275	18042012
2452275	19042012
2452275	20042012
2452275	21042012
2452275	22042012
2452275	23042012
2452275	24042012
2452275	25042012
2452275	26042012
2452275	27042012
2452275	28042012
2452275	29042012
2452275	30042012
2452275	01052012
2452275	02052012
2452275	03052012
2452275	04052012
2452275	05052012
2452275	06052012
2452275	07052012
2452275	08052012
2452275	09052012
2452275	10052012
2452275	11052012
2452275	12052012
2452275	13052012
2452275	14052012
2452275	15052012
2452275	16052012
2452275	17052012
2452275	18052012
2452275	19052012
2452275	20052012
2452275	21052012
2452275	22052012
2452275	23052012
2452275	24052012
2452275	25052012
2452275	26052012
2452275	27052012
2452275	28052012
2452275	29052012
2452275	30052012
2452275	31052012
2452275	01062012
2452275	02062012
2452275	03062012
2452275	04062012
2452275	05062012
2452275	06062012
2452275	07062012
2452275	08062012
2452275	09062012
2452275	10062012
2452275	11062012
2452275	12062012
2452275	13062012
2452275	14062012
2452275	15062012
2452275	16062012
2452275	17062012
2452275	18062012
2452275	19062012
2452275	20062012
2452275	21062012
2452275	22062012
2452275	23062012
2452275	24062012
2452275	25062012
2452275	26062012
2452275	27062012
2452275	28062012
2452275	29062012
2452275	30062012
2452275	01072012
2452275	02072012
2452275	03072012
2452275	04072012
2452275	05072012
2452275	06072012
2452275	07072012
2452275	08072012
2452275	09072012
2452275	10072012
2452275	11072012
2452275	12072012
2452275	13072012
2452275	14072012
2452275	15072012
2452275	16072012
2452275	17072012
2452275	18072012
2452275	19072012
2452275	20072012
2452275	21072012
2452275	22072012
2452275	23072012
2452275	24072012
2452275	25072012
2452275	26072012
2452275	27072012
2452275	28072012
2452275	29072012
2452275	30072012
2452275	31072012
2452275	01082012
2452275	02082012
2452275	03082012
2452275	04082012
2452275	05082012
2452275	06082012
2452275	07082012
2452275	08082012
2452275	09082012
2452275	10082012
2452275	11082012
2452275	12082012
2452275	13082012
2452275	14082012
2452275	15082012
2452275	16082012
2452275	17082012
2452275	18082012
2452275	19082012
2452275	20082012
2452275	21082012
2452275	22082012
2452275	23082012
2452275	24082012
2452275	25082012
2452275	26082012
2452275	27082012
2452275	28082012
